address,price,beds,baths,area,zpid,statusType,statusText
"4370 Park Monte Nord, Calabasas, CA 91302",2149999,5,4.0,3258,19897419,FOR_SALE,House for sale
"4234 Prado De Los Pajaros, Calabasas, CA 91302",5999950,6,8.0,5415,58477404,FOR_SALE,House for sale
"23777 Mulholland Hwy SPACE 134, Calabasas, CA 91302",189000,2,2.0,,136686427,FOR_SALE,Home for sale
"23777 Mulholland Hwy SPC 108, Calabasas, CA 91302",319000,3,2.0,1800,136686419,FOR_SALE,Home for sale
"23477 Park Colombo, Calabasas, CA 91302",5250000,5,5.0,5273,19898049,FOR_SALE,House for sale
"23415 Park Hacienda, Calabasas, CA 91302",1775000,3,3.0,2243,19896199,FOR_SALE,House for sale
"23593 Park South St, Calabasas, CA 91302",7995000,6,9.0,8152,19896622,FOR_SALE,House for sale
"24735 Calle Serranona, Calabasas, CA 91302",2599800,6,3.0,2928,19897630,FOR_SALE,House for sale
"1231 Old Topanga Canyon Rd, Topanga, CA 90290",1749000,1,1.0,1172,90139691,FOR_SALE,House for sale
"2026 Topanga Skyline Dr, Topanga, CA 90290",1675000,4,2.0,2200,20549308,FOR_SALE,House for sale
"24300 Sylvan Glen Rd, Calabasas, CA 91302",1999900,5,3.0,3066,20553189,FOR_SALE,House for sale
"24537 Dry Canyon Cold Creek Rd, Calabasas, CA 91302",3590000,4,3.0,3500,20553037,FOR_SALE,House for sale
"23777 Mulholland Hwy #70, Calabasas, CA 91302",305000,2,2.0,,456624451,FOR_SALE,New construction
"3829 Calle Joaquin, Calabasas, CA 91302",1775000,4,3.0,2425,19897067,FOR_SALE,House for sale
"23777 Mulholland Hwy SPC 89, Calabasas, CA 91302",225000,2,2.0,,2070032807,FOR_SALE,Home for sale
"24762 Via Pradera, Calabasas, CA 91302",1995000,4,3.0,2385,19896950,FOR_SALE,House for sale
"24753 Mulholland Hwy, Calabasas, CA 91302",3075000,4,4.0,4306,20553164,FOR_SALE,House for sale
"24277 Dry Canyon Cold Creek Rd, Calabasas, CA 91302",6699000,6,7.0,6751,300027531,FOR_SALE,House for sale
"3439 Dorothy Rd, Topanga, CA 90290",2995000,4,4.0,3089,68977953,FOR_SALE,House for sale
"6172 Dalecrest Ave, Woodland Hills, CA 91367",1049000,3,2.0,1570,19875309,FOR_SALE,House for sale
"23742 Kivik St, Woodland Hills, CA 91367",1599000,5,3.0,2900,19881321,FOR_SALE,House for sale
"5340 Whitman Rd, Hidden Hills, CA 91302",23750000,7,11.0,14453,339594271,FOR_SALE,New construction
"22910 Collins St, Woodland Hills, CA 91367",3095000,6,6.0,4081,19878818,FOR_SALE,House for sale
"25115 Eldorado Meadow Rd, Hidden Hills, CA 91302",13500000,6,8.0,8860,19883190,FOR_SALE,House for sale
"24050 Hidden Ridge Rd, Hidden Hills, CA 91302",23995000,8,11.0,16112,119678854,FOR_SALE,New construction
"24105 Hidden Ridge Rd, Hidden Hills, CA 91302",30900000,6,10.0,21670,119677212,FOR_SALE,New construction
"5789 Fairhaven Ave, Woodland Hills, CA 91367",1395000,4,3.0,2527,19880831,FOR_SALE,House for sale
"24877 Eldorado Meadow Rd, Hidden Hills, CA 91302",16995000,6,8.0,11000,19882684,FOR_SALE,New construction
"5550 Fallbrook Ave, Woodland Hills, CA 91367",950000,3,2.0,1660,19878043,FOR_SALE,House for sale
"24024 Long Valley Rd, Hidden Hills, CA 91302",7250000,6,7.0,5342,19882842,FOR_SALE,House for sale
"4711 Deseret Dr, Woodland Hills, CA 91364",1275000,3,2.0,2544,19899034,FOR_SALE,House for sale
"22620 Cavalier St, Woodland Hills, CA 91364",1249900,4,3.0,2064,19899999,FOR_SALE,House for sale
"24686 Wooded Vis, West Hills, CA 91307",2795000,4,5.0,4638,19872582,FOR_SALE,House for sale
"4701 Dunman Ave, Woodland Hills, CA 91364",1450000,5,3.0,2415,19898964,FOR_SALE,House for sale
"24044 Long Valley Rd, Hidden Hills, CA 91302",24775000,7,9.0,16215,19882843,FOR_SALE,New construction
"24172 Lupin Hill Rd, Hidden Hills, CA 91302",18995000,6,7.0,10800,19882810,FOR_SALE,House for sale
"24208 Gilmore St, West Hills, CA 91307",899999,3,2.0,1167,19873697,FOR_SALE,House for sale
"23346 Collins St, Woodland Hills, CA 91367",5195000,5,6.0,6518,456087649,FOR_SALE,New construction
"7024 Middlesbury Ridge Cir, West Hills, CA 91307",1475000,3,2.0,1598,19871884,FOR_SALE,House for sale
"7031 Deveron Ridge Rd, West Hills, CA 91307",1175000,5,3.0,2340,19871845,FOR_SALE,House for sale
"4801 Almidor Ave, Woodland Hills, CA 91364",1575000,3,2.0,2058,19899248,FOR_SALE,House for sale
"5320 Orrville Ave, Woodland Hills, CA 91367",1825000,4,4.0,3146,19881406,FOR_SALE,House for sale
"24244 Friar St, Woodland Hills, CA 91367",1226000,4,2.0,1610,19873904,FOR_SALE,House for sale
"7151 Atheling Way, West Hills, CA 91307",1599000,4,2.0,2000,19871272,FOR_SALE,House for sale
"5350 Fallbrook Ave, Woodland Hills, CA 91367",1099000,4,2.0,1634,19878380,FOR_SALE,House for sale
"23800 Tiara St, Woodland Hills, CA 91367",1080000,3,3.0,1790,19880536,FOR_SALE,House for sale
"23335 Schoolcraft St, West Hills, CA 91307",999500,3,2.0,1570,19871126,FOR_SALE,House for sale
"6236 Kenwater Ave, Woodland Hills, CA 91367",999000,3,2.0,1167,19874084,FOR_SALE,House for sale
"23238 Victory Blvd, Woodland Hills, CA 91367",849900,3,1.0,1004,19875558,FOR_SALE,House for sale
"5287 Round Meadow Rd, Hidden Hills, CA 91302",17999999,7,11.0,16329,19882744,FOR_SALE,House for sale
"5960 Pat Ave, Woodland Hills, CA 91367",1995000,4,3.0,2445,19872822,FOR_SALE,House for sale
"23416 Califa St, Woodland Hills, CA 91367",5295000,6,7.0,6418,19878568,FOR_SALE,House for sale
"24341 Rolling View Rd, Hidden Hills, CA 91302",25950000,7,11.0,15110,19883126,FOR_SALE,New construction
"24630 Kittridge St, West Hills, CA 91307",1785000,5,3.0,3116,19872503,FOR_SALE,House for sale
"22960 Cass Ave, Woodland Hills, CA 91364",1295000,4,3.0,2704,19900024,FOR_SALE,House for sale
"22914 Gershwin Dr, Woodland Hills, CA 91364",1999999,5,5.0,3371,19899325,FOR_SALE,House for sale
